Brand_c,Price,Kilometers,Seats,Doors,Brand_Model_code,Car_Age,Country_c,Gearbox_c,Fuel_c,Seller_c,Type_c,Drivetrain_c,Upholstery_c,Color_c,Body_Type_c
0,5100.0,225282.0,7.0,5.0,0.205,12,1,0,1,0,0,1,1,0,5
0,1995.0,162076.0,4.0,5.0,0.181,15,2,1,0,0,0,0,0,1,2
0,2995.0,53914.0,4.0,5.0,0.181,19,2,1,0,0,0,0,0,0,2
0,1450.0,238642.0,5.0,5.0,0.03,19,2,1,0,0,0,0,0,0,2
0,8900.0,199000.0,5.0,5.0,0.354,8,1,1,4,0,0,0,2,2,0
0,12990.0,0.0,5.0,5.0,0.289,0,1,1,2,0,1,0,3,0,1
0,3740.0,157046.0,4.0,3.0,0.199,16,2,1,0,0,0,0,0,2,2
0,4950.0,119000.0,4.0,5.0,0.181,12,1,1,0,0,0,0,0,0,1
0,4500.0,121967.0,4.0,5.0,0.181,13,2,1,0,0,0,0,0,5,2
0,6900.0,89700.0,5.0,5.0,0.119,9,1,1,0,0,0,0,0,1,1
0,6950.0,50522.0,4.0,3.0,0.199,15,2,1,0,0,0,0,2,2,6
0,8500.0,70000.0,5.0,5.0,0.293,8,1,1,1,0,0,0,0,1,1
0,10440.0,34688.0,4.0,3.0,0.199,5,3,1,0,0,0,0,1,1,2
0,7400.0,68000.0,5.0,5.0,0.235,12,1,1,0,0,0,0,1,5,6
0,2950.0,98550.0,5.0,5.0,0.03,17,2,1,0,0,0,0,0,0,2
0,9790.0,48558.0,5.0,5.0,0.293,7,3,1,0,0,0,0,0,8,1
0,10897.0,32846.0,4.0,2.0,0.199,6,0,1,0,0,0,0,3,0,2
0,8500.0,70000.0,5.0,5.0,0.293,7,1,1,0,0,0,0,3,7,1
0,8900.0,199000.0,5.0,5.0,0.354,8,1,1,4,0,0,0,2,2,0
0,4950.0,145638.0,5.0,5.0,0.064,13,2,1,0,0,0,0,0,6,2
0,4900.0,160000.0,5.0,5.0,0.16,13,1,1,6,0,0,0,0,9,5
0,9500.0,27500.0,4.0,5.0,0.181,3,1,1,2,0,0,0,0,1,1
0,13900.0,77053.0,5.0,5.0,0.354,5,1,1,1,0,0,0,3,0,0
0,4490.0,128635.0,4.0,3.0,0.199,14,2,1,0,0,0,0,2,5,2
0,13490.0,60000.0,5.0,5.0,0.293,4,1,1,1,0,0,0,0,4,3
0,9200.0,96000.0,4.0,3.0,0.199,4,1,1,2,0,0,0,2,2,2
0,9900.0,66893.0,4.0,3.0,0.199,8,1,0,0,0,0,0,3,5,1
0,18950.0,0.0,5.0,5.0,0.571,0,1,0,2,0,1,0,0,0,0
0,18680.0,0.0,5.0,5.0,0.293,0,0,1,1,0,1,0,0,3,1
0,10500.0,47555.0,4.0,5.0,0.181,10,1,1,0,0,0,1,0,6,2
0,18950.0,100.0,5.0,4.0,0.354,1,0,0,0,0,0,0,0,2,2
0,5900.0,54773.0,5.0,3.0,0.119,13,1,1,0,0,0,0,0,3,2
0,4995.0,114454.0,4.0,3.0,0.199,18,2,1,0,0,0,0,0,3,2
0,9990.0,45700.0,5.0,4.0,0.293,7,0,1,0,0,0,0,0,0,1
0,13990.0,140305.0,7.0,5.0,0.205,13,0,0,1,0,0,1,1,0,5
0,3245.0,112583.0,4.0,5.0,0.181,18,2,0,0,0,0,0,0,1,2
0,6190.0,128000.0,5.0,5.0,0.224,11,1,1,1,0,0,0,0,6,1
0,12990.0,0.0,5.0,5.0,0.289,0,1,1,2,0,1,0,3,0,1
0,7490.0,118967.0,5.0,5.0,0.065,13,2,1,0,0,0,0,1,0,2
0,6600.0,122000.0,4.0,3.0,0.199,10,1,1,0,0,0,0,0,2,1
0,9990.0,35400.0,4.0,3.0,0.199,9,0,1,0,0,0,0,0,0,2
0,5990.0,154286.0,4.0,2.0,0.235,12,3,1,0,0,0,0,2,8,6
0,12500.0,122000.0,5.0,5.0,0.354,8,1,0,1,0,0,1,2,4,0
0,2950.0,195000.0,5.0,3.0,0.064,14,1,1,1,0,0,0,0,2,1
0,10550.0,1.0,4.0,5.0,0.181,1,1,1,2,0,2,0,3,2,1
0,8290.0,71200.0,4.0,3.0,0.199,10,0,2,0,0,0,0,0,0,2
0,2500.0,71473.0,5.0,3.0,0.181,26,1,1,0,0,0,0,0,1,1
0,7950.0,89000.0,4.0,3.0,0.199,10,1,1,0,0,0,0,1,3,2
0,18880.0,10.0,5.0,5.0,0.293,0,0,1,1,0,1,0,0,0,1
0,5950.0,59000.0,5.0,5.0,0.119,15,1,1,0,0,0,0,0,4,1
0,2299.0,112882.0,4.0,4.0,0.181,18,0,1,6,0,0,0,0,3,1
0,11999.0,31731.0,5.0,5.0,0.293,6,3,1,0,0,0,0,0,1,1
0,2700.0,250000.0,5.0,5.0,0.03,17,1,1,4,0,0,0,0,4,1
0,16900.0,36469.0,5.0,5.0,0.293,4,1,1,1,0,0,0,0,1,1
0,3950.0,199009.0,4.0,3.0,0.199,14,2,1,0,0,0,0,0,0,2
0,8990.0,78840.0,4.0,2.0,0.401,10,0,0,3,0,0,0,2,3,2
0,4950.0,119000.0,4.0,5.0,0.181,12,1,1,0,0,0,0,0,0,1
0,6950.0,124313.0,4.0,3.0,0.199,9,2,1,0,0,0,0,0,1,2
0,10500.0,98500.0,5.0,5.0,0.293,8,1,1,1,0,0,0,2,2,1
0,7450.0,41233.0,4.0,2.0,0.199,14,2,1,0,0,0,0,2,0,6
0,7700.0,120000.0,5.0,5.0,0.155,14,1,1,1,0,0,1,0,5,0
