Brand_c,Price,Kilometers,Seats,Doors,Brand_Model_code,Car_Age,Country_c,Gearbox_c,Fuel_c,Seller_c,Type_c,Drivetrain_c,Upholstery_c,Color_c,Body_Type_c
22,69990.0,15.0,5.0,5.0,22.999,1,0,0,0,0,3,1,1,0,0
17,237500.0,5468.0,2.0,2.0,17.999,6,3,0,0,0,0,1,1,0,1
17,94890.0,156852.0,2.0,5.0,17.999,31,0,1,0,0,0,2,1,0,4
17,62000.0,30.0,5.0,5.0,17.131,1,1,1,0,0,0,0,0,2,1
17,74900.0,500.0,4.0,5.0,17.131,2,6,0,0,0,4,1,0,1,1
5,60448.0,15.0,5.0,4.0,5.999,0,3,0,1,0,0,1,1,0,0
5,74490.0,9990.0,7.0,5.0,5.773,1,0,0,2,0,3,1,1,0,0
21,68900.0,4157.0,5.0,4.0,21.766,1,3,0,2,0,0,1,0,0,1
21,69995.0,12056.0,7.0,5.0,21.999,1,3,0,2,0,0,1,1,0,0
21,63850.0,13431.0,7.0,5.0,21.999,2,0,0,1,0,0,1,1,1,0
21,94680.0,5.0,7.0,5.0,21.999,1,0,0,2,0,3,1,1,0,0
21,89990.0,8000.0,7.0,5.0,21.999,1,4,0,2,0,3,1,1,0,0
21,86240.0,9900.0,7.0,5.0,21.999,1,0,0,2,0,3,1,1,1,0
10,78780.0,400.0,5.0,5.0,10.706,1,0,0,1,0,0,1,1,1,0
10,75990.0,56.0,5.0,5.0,10.706,1,3,0,1,0,0,1,1,2,0
18,139975.0,6500.0,5.0,5.0,18.999,3,0,0,0,0,0,1,1,1,0
18,119900.0,1.0,5.0,5.0,18.999,0,3,0,2,0,1,1,1,0,0
18,69490.0,10.0,5.0,5.0,18.322,0,1,0,0,0,2,1,3,0,0
18,142900.0,6500.0,5.0,5.0,18.999,3,0,0,0,0,0,1,1,1,0
18,214900.0,10.0,5.0,5.0,18.999,0,0,0,0,0,1,1,1,0,0
18,88900.0,33155.0,5.0,5.0,18.999,3,3,0,2,0,0,1,1,0,0
13,71490.0,5000.0,7.0,5.0,13.999,2,0,0,3,0,3,1,1,1,0
27,234890.0,15.0,5.0,5.0,27.706,0,0,0,0,0,1,1,1,3,0
27,119950.0,1500.0,5.0,5.0,27.885,0,3,0,2,0,3,1,1,0,0
27,65990.0,54900.0,5.0,5.0,27.706,5,0,0,1,0,0,1,1,0,0
27,68995.0,133124.0,5.0,5.0,27.885,5,3,0,1,0,0,1,1,6,0
27,66780.0,0.0,5.0,3.0,27.885,0,3,0,1,0,1,1,2,0,0
27,229490.0,2500.0,2.0,5.0,27.706,0,3,0,0,0,3,1,1,1,0
27,101995.0,24822.0,5.0,5.0,27.706,2,3,0,2,0,0,1,1,0,0
27,64950.0,36253.0,2.0,3.0,27.885,9,3,1,1,0,0,1,1,0,7
27,98800.0,27854.0,5.0,5.0,27.706,2,1,0,5,0,0,1,1,0,0
27,61950.0,44850.0,5.0,5.0,27.706,4,0,0,2,0,0,1,1,0,0
27,108500.0,15.0,2.0,5.0,27.706,0,3,0,2,0,1,1,1,1,0
27,66990.0,100.0,5.0,5.0,27.885,0,0,0,1,0,1,1,2,0,0
27,136500.0,19900.0,5.0,5.0,27.999,2,3,0,2,0,0,1,0,1,0
27,72900.0,49990.0,5.0,5.0,27.885,3,3,0,1,0,0,1,1,0,0
27,111950.0,20273.0,5.0,5.0,27.706,3,2,0,2,0,0,1,1,1,0
27,69667.0,0.0,5.0,3.0,27.885,0,3,0,1,0,1,1,3,0,0
27,89500.0,32410.0,5.0,5.0,27.885,3,2,0,2,0,0,1,1,0,0
27,72400.0,72250.0,5.0,5.0,27.706,6,0,0,0,0,0,1,1,0,0
27,91990.0,2700.0,5.0,5.0,27.885,2,3,0,2,0,0,1,1,1,0
27,64700.0,17056.0,5.0,5.0,27.509,3,2,0,2,0,0,1,1,0,0
27,72495.0,45286.0,5.0,5.0,27.706,6,2,0,0,0,0,1,1,2,0
27,74950.0,20000.0,5.0,3.0,27.885,1,3,0,1,0,0,1,1,0,0
27,115900.0,96863.0,5.0,5.0,27.999,3,1,0,5,0,0,1,3,0,3
27,62895.0,33000.0,6.0,5.0,27.885,4,0,0,1,0,0,1,1,1,0
27,78990.0,63395.0,5.0,5.0,27.999,3,3,0,1,0,0,1,1,1,0
27,74990.0,35000.0,5.0,4.0,27.885,3,0,0,2,0,0,1,0,0,0
27,87490.0,29000.0,5.0,5.0,27.706,5,0,0,0,0,0,1,1,2,0
27,67500.0,47310.0,5.0,5.0,27.885,4,3,0,0,0,0,1,1,7,0
27,121970.0,20711.0,5.0,5.0,27.885,2,0,0,0,0,0,1,1,0,0
27,68900.0,34000.0,5.0,5.0,27.885,2,1,0,5,0,0,1,1,1,0
27,61699.0,66080.0,5.0,5.0,27.885,3,3,0,1,0,0,1,1,7,0
27,69990.0,6666.0,3.0,3.0,27.885,3,3,0,1,0,0,0,0,6,0
27,81900.0,20.0,7.0,5.0,27.885,2,0,0,1,0,0,1,1,1,0
27,232220.0,0.0,2.0,5.0,27.706,0,3,0,0,0,1,1,1,5,0
27,73900.0,7500.0,5.0,3.0,27.885,1,0,0,1,0,0,1,1,0,0
27,62750.0,53230.0,5.0,4.0,27.509,5,0,0,0,0,0,1,0,0,0
27,299890.0,15.0,5.0,5.0,27.999,0,0,0,0,0,1,1,1,0,0
27,90900.0,28756.0,5.0,5.0,27.706,2,1,0,5,0,0,1,1,3,0
27,95000.0,16500.0,5.0,5.0,27.885,1,1,0,5,0,0,1,1,0,0
27,92950.0,23500.0,5.0,5.0,27.885,1,3,0,2,0,0,1,1,0,0
27,232140.0,0.0,5.0,5.0,27.999,0,3,0,0,0,1,1,1,6,0
27,69200.0,43713.0,2.0,3.0,27.885,9,3,1,1,0,0,1,1,1,0
27,89900.0,41900.0,5.0,5.0,27.999,4,0,0,0,0,0,1,1,0,0
27,91900.0,22567.0,5.0,5.0,27.706,3,1,0,0,0,0,1,0,0,0
27,150990.0,0.0,2.0,5.0,27.999,0,3,0,2,0,1,1,1,6,0
27,229800.0,1800.0,5.0,5.0,27.706,1,0,0,0,0,0,1,1,0,0
27,98990.0,7500.0,6.0,5.0,27.885,1,3,0,1,0,0,1,1,0,0
27,115990.0,19745.0,5.0,5.0,27.706,1,3,0,2,0,0,1,1,1,0
27,153021.0,0.0,2.0,5.0,27.999,0,3,0,2,0,1,1,1,0,0
27,97900.0,29984.0,5.0,5.0,27.706,2,1,0,5,0,0,1,1,1,0
27,124995.0,34218.0,5.0,5.0,27.999,2,3,0,1,0,0,1,1,1,0
27,63900.0,97653.0,5.0,5.0,27.999,4,1,0,1,0,0,1,1,3,0
27,78950.0,34105.0,5.0,5.0,27.509,6,2,0,0,0,0,1,2,0,0
27,69900.0,16877.0,5.0,3.0,27.885,2,0,0,1,0,0,1,2,0,0
20,74440.0,0.0,5.0,5.0,20.356,0,0,0,0,0,1,2,1,0,1
20,62885.0,6000.0,5.0,5.0,20.401,0,0,0,0,0,3,1,1,1,0
20,64900.0,67397.0,5.0,4.0,20.356,6,2,0,0,0,0,2,2,3,1
20,73900.0,10383.0,2.0,2.0,20.999,11,7,0,0,0,0,1,2,5,4
20,73490.0,8824.0,2.0,3.0,20.999,9,0,0,0,0,0,2,2,0,4
20,71900.0,9400.0,2.0,2.0,20.999,10,0,0,0,0,0,2,1,2,4
20,68890.0,13500.0,4.0,4.0,20.356,2,0,0,0,0,0,2,1,12,1
20,74900.0,34895.0,2.0,2.0,20.999,8,1,2,0,0,0,1,1,1,4
20,76900.0,15750.0,4.0,4.0,20.356,4,1,0,0,0,0,2,2,0,1
20,74975.0,150.0,5.0,5.0,20.401,3,0,0,2,0,2,1,1,0,0
